               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12773,            0.077978,            0.046727,                   0,                   0,                   0,                   0,             0.12569,            0.071394,            0.047001,              0.0919,              0.0009,              0.0009
                   1,             0.12056,            0.088811,            0.044791,           0.0011862,           0.0023641,          0.00060551,           0.0001211,             0.11412,            0.081623,            0.042892,            0.082806,           0.0018059,           0.0018059
                   2,             0.11512,            0.088939,             0.04351,            0.046702,            0.067868,            0.020804,           0.0056442,             0.10576,            0.069487,            0.041037,            0.073613,           0.0026129,           0.0026129
                   3,             0.10645,            0.083376,            0.039285,            0.033892,             0.13403,            0.019051,           0.0036144,             0.10527,            0.063227,            0.038523,            0.064321,           0.0033208,           0.0033208
                   4,            0.096617,            0.084087,            0.036489,            0.035943,             0.13491,            0.021226,           0.0065035,             0.10347,              0.1008,            0.037135,             0.05493,           0.0039298,           0.0039298
                   5,            0.086227,            0.079192,            0.035157,            0.069315,             0.17541,            0.039688,            0.011507,             0.10765,            0.088153,            0.034104,             0.04544,           0.0044398,           0.0044398
                   6,            0.087449,            0.078111,             0.03374,            0.052572,             0.27244,            0.052763,            0.013757,             0.07865,            0.073852,            0.031903,            0.035851,           0.0048507,           0.0048507
                   7,            0.081462,            0.087352,            0.033229,             0.05307,             0.29857,            0.043507,            0.014865,             0.10007,            0.068714,            0.030577,            0.026163,           0.0051627,           0.0051627
                   8,            0.078202,            0.083832,            0.033059,             0.14572,             0.32521,             0.14987,            0.047863,            0.074313,            0.061061,            0.030199,            0.016376,           0.0053756,           0.0053756
                   9,            0.073701,            0.079262,            0.032756,             0.14969,             0.37653,             0.14645,            0.042038,            0.082628,            0.063391,            0.029583,           0.0064895,           0.0054896,           0.0054896
                  10,            0.076466,            0.085665,            0.031277,             0.19672,             0.31997,             0.20452,            0.059793,            0.075995,            0.054794,            0.029196,             0.00505,             0.00505,             0.00505
                  11,            0.072027,            0.078604,            0.031023,             0.17633,             0.51725,             0.25931,            0.083344,            0.069295,            0.057228,            0.028801,             0.00505,             0.00505,             0.00505
                  12,            0.067823,            0.084562,            0.030023,             0.21022,             0.62508,             0.30385,             0.10367,            0.068464,            0.055026,            0.028048,            0.004555,            0.004555,            0.004555
                  13,            0.063732,            0.075252,            0.028875,             0.27931,              0.6157,             0.35673,             0.12748,             0.06192,            0.055169,            0.027281,             0.00406,             0.00406,             0.00406
                  14,            0.060817,            0.077994,            0.027603,             0.37696,             0.62006,             0.51359,             0.18742,            0.061698,            0.055865,            0.026732,            0.003565,            0.003565,            0.003565
                  15,            0.057351,            0.084018,            0.027471,             0.37236,             0.64773,              0.4806,             0.18771,             0.05577,            0.055615,            0.025879,             0.00307,             0.00307,             0.00307
                  16,            0.053603,            0.076295,            0.026516,             0.48481,             0.67849,             0.57206,             0.22452,            0.052036,            0.055139,            0.025305,            0.002575,            0.002575,            0.002575
                  17,             0.05181,            0.077053,            0.025283,             0.45612,             0.78502,             0.57664,               0.232,            0.053624,            0.055128,            0.024308,             0.00208,             0.00208,             0.00208
                  18,            0.050483,            0.075223,            0.026154,             0.46578,             0.78256,             0.56421,              0.2253,            0.053374,            0.054113,            0.023825,            0.001585,            0.001585,            0.001585
                  19,            0.045763,             0.07542,            0.023956,             0.65487,              0.7788,             0.76383,             0.35814,             0.04468,             0.05351,            0.022713,             0.00109,             0.00109,             0.00109
